,Column Labels,,,,,,,,,,,,,,,,,,,21494.66667,40.00290958,4.937382115,,,,,RAM,RAM,RAM,Path Cost,Path Cost,Path Cost,Max Depth,Max Depth,Max Depth,Search Depth,Search Depth,Search Depth,Expanded Nodes,Expanded Nodes,Expanded Nodes
,Run Time,,,Path Cost,,,Max Depth,,,Search Depth,,,Expanded Nodes,,,RAM,,,,8103.666667,47.13163519,4.863846145,Starting Grid,A*,BFS,DFS,A*,BFS,DFS,A*,BFS,DFS,A*,BFS,DFS,A*,BFS,DFS,A*,BFS,DFS
Row Labels,ast,bfs,dfs,ast,bfs,dfs,ast,bfs,dfs,ast,bfs,dfs,ast,bfs,dfs,ast,bfs,dfs,,14853.33333,32.03324485,3.489631066,45812763,109.0007615,7.530999899,3.476967335,0.536712646,8.075897217,4.333206177,28,28,64428,28,29,64438,28,28,64428,8873,179427,85402
52143786,0.8770,3.9040,4.9545,22,22,"57,248",22,23,"65,982",22,22,"57,248",896,"86,193","123,946",0.13,4.19,4.34,,21225.33333,7.486862818,0.92974537,763258104,3.217000484,,2.957671642,0.131996155,,4.308532715,25,,57759,25,,57763,25,,57759,1333,,69316
52381467,0.2020,0.9950,1.0730,18,18,"26,336",18,19,"26,336",18,18,"26,336",259,"26,167","27,516",0.03,2.09,2.16,,21353.33333,7.301668167,0.916089935,807651423,14.71228957,7.342998981,4.995999813,0.516059875,8.073379517,4.338241577,27,27,55791,27,28,66123,27,27,55791,3731,175819,126422
53284167,0.0560,2.1580,4.3435,20,20,"64,180",20,21,"65,982",20,20,"64,180",193,"53,478","108,652",0.01,2.14,4.34,,11415.33333,12.99819446,0.911319275,748306152,10.62607551,7.157999277,4.676513672,0.137672424,8.088485718,4.338241577,26,26,63624,26,27,66122,26,26,63624,2797,169628,110687
53687124,2.6593,7.2947,5.6565,26,26,"24,668",26,27,"65,982",26,26,"24,668","1,773","165,847","161,037",0.13,8.08,8.24,,13592,11.69348629,0.905368765,356247081,10.84205437,6.803949594,4.25900054,0.136253357,4.190200806,4.337738037,26,26,64008,26,27,65982,26,26,64008,2470,165190,109617
56238741,1.3160,4.9156,2.2220,24,24,"47,486",24,25,"47,486",24,24,"47,486",796,"124,906","53,297",0.04,4.19,2.27,,10658.33333,13.28221528,0.892568878,246701538,30.71251154,6.818071604,1.464000225,0.516059875,8.088485718,2.201278687,26,26,34194,26,27,34194,26,26,34194,3868,164319,36265
56318427,0.1820,3.5150,4.0710,22,22,"65,262",22,23,"65,982",22,22,"65,262",423,"82,775","103,863",0.03,4.19,4.34,,21909,6.524227381,0.860062301,682571034,26.7165103,6.523948669,1.839999914,0.518074036,4.190200806,2.234008789,26,26,40724,26,27,40724,26,26,40724,3735,161546,44285
56417283,30.3925,7.1662,0.7790,28,28,"10,088",28,29,"10,088",28,28,"10,088","4,014","179,606","10,374",0.52,8.08,0.56,,19030.66667,8.146298647,0.855269504,241856703,25.95513487,7.440512419,6.450998545,0.522895813,8.073379517,8.239044189,27,27,31921,27,28,66123,27,27,31921,5228,178315,154599
56714382,0.2850,4.1212,4.1750,22,22,"65,528",22,23,"65,982",22,22,"65,528",508,"93,788","102,618",0.03,4.19,4.34,,21291,6.636226575,0.830051048,675041328,9.343132019,6.08854866,4.141001463,0.139266968,4.198760986,4.338745117,25,25,65677,25,26,66056,25,25,65677,3141,145570,102633
57148362,0.3500,1.8030,5.7965,20,20,"50,108",20,21,"65,982",20,20,"50,108",426,"40,262","134,765",0.03,2.14,4.34,,19322,7.741775036,0.826272886,376405218,14.4089992,7.114897251,2.914999485,0.137672424,8.088485718,4.306015015,26,26,57040,26,27,57040,26,26,57040,2776,169277,67969
58732461,2.6020,5.1275,1.0940,24,24,"25,108",24,25,"25,108",24,24,"25,108","1,153","125,693","26,174",0.13,4.19,2.15,,21543.66667,6.397507985,0.818655548,401826357,9.628155231,6.073524237,4.207000256,0.139266968,4.198760986,4.338241577,25,25,63823,25,26,66123,25,25,63823,3016,153086,110462
